ID,Nombre,Marca,Categoría,Slug,Descripción,Precio,Precio con descuento,Stock,Activo,CODIGO AIKON,COLOR,MEDIDA,TERMINACIÓN,Imagen
41,Pincel Persianero,El Galgo,Accesorios,pincel-persianero-n10-galgo,"Pincel persianero profesional N°10 marca Galgo. Ideal para pintar persianas, rejas y superficies con ranuras. Cerdas de alta calidad que garantizan un acabado uniforme y duradero. Mango ergonómico para mayor comodidad durante el trabajo.",2491,1743.7,25,Sí,524,NULL,Nº10,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/galgo/pincel-persianero-n10-galgo.webp
42,Pincel Persianero,El Galgo,Accesorios,pincel-persianero-n15-galgo,Pincel persianero profesional N°15 marca Galgo. Tamaño intermedio perfecto para trabajos de precisión en persianas y estructuras metálicas. Excelente retención de pintura y distribución uniforme.,2888,2021.6,20,Sí,525,NULL,Nº15,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/galgo/pincel-persianero-n15-galgo.webp
43,Pincel Persianero,El Galgo,Accesorios,pincel-persianero-n20-galgo,"Pincel persianero profesional N°20 marca Galgo. Tamaño estándar para trabajos generales en persianas, rejas y carpintería metálica. Cerdas resistentes a solventes y pinturas sintéticas.",3732,2612.4,18,Sí,526,NULL,Nº20,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/galgo/pincel-persianero-n20-galgo.webp
44,Pincel Persianero,El Galgo,Accesorios,pincel-persianero-n25-galgo,Pincel persianero profesional N°25 marca Galgo. Ideal para superficies más amplias manteniendo la precisión en ranuras y espacios reducidos. Excelente para trabajos de mantenimiento industrial.,4521,3164.7,15,Sí,527,NULL,Nº25,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/galgo/pincel-persianero-n25-galgo.webp
45,Pincel Persianero,El Galgo,Accesorios,pincel-persianero-n30-galgo,"Pincel persianero profesional N°30 marca Galgo. El más grande de la línea, perfecto para trabajos extensos en persianas y estructuras metálicas grandes. Máxima capacidad de carga de pintura.",7032,4922.4,12,Sí,528,NULL,Nº30,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/galgo/pincel-persianero-n30-galgo.webp
46,Rodillo 22cm Lanar Elefante,El Galgo,Accesorios,rodillo-22cm-lanar-elefante-galgo,Rodillo profesional de 22cm con lana de oveja natural marca Galgo. Sistema antigoteo que evita salpicaduras. Ideal para pinturas látex y acrílicas. Excelente absorción y distribución uniforme de la pintura. Incluye arco metálico reforzado.,12962,9073.4,30,Sí,2353,NULL,22cm,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/galgo/rodillo-22cm-lanar-elefante-galgo.webp
47,Plavipint Techos Poliuretánico,Plavicon,Techos,plavipint-techos-poliuretanico-10l-plavicon,Membrana líquida poliuretánica para techos marca Plavicon. Excelente impermeabilización y resistencia a la intemperie. Aplicación directa sobre diversos sustratos. Elasticidad permanente que resiste movimientos estructurales. Rendimiento: 1.5-2 kg/m².,80032,56022.4,15,,4488,"BLANCO, ROJO TEJA",10KG,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/plavicon/plavipint-techos-poliuretanico-10l-plavicon.webp
48,Plavipint Techos Poliuretánico,Plavicon,Techos,plavipint-techos-poliuretanico-20l-plavicon,"Membrana líquida poliuretánica para techos marca Plavicon presentación 20L. Máxima protección contra filtraciones. Resistente a rayos UV, granizo y cambios térmicos extremos. Ideal para techos planos y con pendiente.",144341,101038.7,10,,4487,"BLANCO, ROJO TEJA",20KG,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/plavicon/plavipint-techos-poliuretanico-20l-plavicon.webp
49,Membrana Performa,Plavicon,Techos,membrana-performa-20l-plavicon,"Membrana líquida acrílica Performa de Plavicon. Impermeabilizante de alta performance para techos y terrazas. Excelente adherencia sobre hormigón, fibrocemento y metal. Resistencia superior a la intemperie y fácil aplicación con pincel o rodillo.",103000,72100,12,Sí,4444,BLANCO,20KG,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/plavicon/membrana-performa-20l-plavicon.webp
50,Látex Frentes,Plavicon,Exteriores,latex-frentes-4l-plavicon,Pintura látex acrílica para frentes y exteriores marca Plavicon. Excelente resistencia a la intemperie y rayos UV. Impermeabilizante que protege contra la humedad. Acabado mate que disimula imperfecciones. Rendimiento: 10-12 m²/litro.,45485,31839.5,25,Sí,2756,BLANCO,5KG,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/plavicon/latex-frentes-4l-plavicon.webp
51,Látex Frentes,Plavicon,Exteriores,latex-frentes-10l-plavicon,"Pintura látex acrílica para frentes y exteriores marca Plavicon presentación 10L. Protección superior contra hongos y algas. Excelente cubrimiento y durabilidad. Ideal para fachadas, muros y superficies expuestas.",96886,67820.2,18,Sí,2757,BLANCO,12KG,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/plavicon/latex-frentes-10l-plavicon.webp
52,Látex Frentes,Plavicon,Exteriores,latex-frentes-20l-plavicon,Pintura látex acrílica para frentes y exteriores marca Plavicon presentación 20L. Máxima protección para grandes superficies. Resistencia excepcional a condiciones climáticas adversas. Aplicación fácil con excelente nivelación.,163300,114310,12,Sí,2758,BLANCO,24KG,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/plavicon/latex-frentes-20l-plavicon.webp
53,Látex Interior,Plavicon,Interiores,latex-interior-4l-plavicon,"Pintura látex acrílica para interiores marca Plavicon. Acabado mate lavable con excelente cubrimiento. Baja emisión de olores y secado rápido. Ideal para dormitorios, living y espacios habitables. Fácil aplicación y limpieza.",41200,28840,30,Sí,2849,BLANCO,4L,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/plavicon/latex-interior-4l-plavicon.webp
54,Látex Interior,Plavicon,Interiores,latex-interior-10l-plavicon,Pintura látex acrílica para interiores marca Plavicon presentación 10L. Excelente lavabilidad y resistencia al roce. Disponible en base blanca para tintado. Cobertura uniforme y acabado profesional.,87700,61390,22,,2850,BLANCO,10L,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/plavicon/latex-interior-10l-plavicon.webp
55,Látex Interior,Plavicon,Interiores,latex-interior-20l-plavicon,Pintura látex acrílica para interiores marca Plavicon presentación 20L. Máxima performance para grandes proyectos. Excelente relación calidad-precio. Resistente a manchas y fácil mantenimiento.,153000,107100,15,,2851,BLANCO,20L,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/plavicon/latex-interior-20l-plavicon.webp
56,Cielorraso,Plavicon,Techos,cielorraso-1l-plavicon,Pintura látex especial para cielorrasos marca Plavicon. Fórmula antihongo que previene la formación de moho y hongos. Secado rápido y sin goteo. Acabado mate que oculta imperfecciones. Ideal para baños y cocinas.,10576,7403.2,35,Sí,4462,BLANCO,1L,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/plavicon/cielorraso-1l-plavicon.webp
57,Cielorraso,Plavicon,Techos,cielorraso-4l-plavicon,"Pintura látex especial para cielorrasos marca Plavicon presentación 4L. Protección antihongo de larga duración. Excelente adherencia sobre yeso, hormigón y placas. Aplicación sin salpicaduras.",31354,21947.8,25,Sí,4463,BLANCO,4L,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/plavicon/cielorraso-4l-plavicon.webp
58,Cielorraso,Plavicon,Techos,cielorraso-10l-plavicon,Pintura látex especial para cielorrasos marca Plavicon presentación 10L. Máxima protección contra humedad y condensación. Rendimiento superior y fácil aplicación con rodillo.,75156,52609.2,18,Sí,4464,BLANCO,10L,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/plavicon/cielorraso-10l-plavicon.webp
59,Cielorraso,Plavicon,Techos,cielorraso-20l-plavicon,Pintura látex especial para cielorrasos marca Plavicon presentación 20L. Solución profesional para grandes superficies. Tecnología antihongo avanzada y secado ultrarrápido.,136000,95200,12,Sí,4465,BLANCO,20L,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/plavicon/cielorraso-20l-plavicon.webp
60,Látex Muros,Plavicon,Exteriores,latex-muros-4l-plavicon,"Pintura látex impermeabilizante para muros y frentes marca Plavicon. Protección superior contra filtraciones y humedad. Resistente a hongos, algas y eflorescencias. Excelente adherencia sobre mampostería.",53700,37590,22,,4261,BLANCO,5KG,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/plavicon/latex-muros-4l-plavicon.webp
61,Látex Muros,Plavicon,Exteriores,latex-muros-10l-plavicon,Pintura látex impermeabilizante para muros y frentes marca Plavicon presentación 10L. Tecnología de barrera contra la humedad. Acabado texturado que disimula irregularidades de la superficie.,118500,82950,16,,4103,BLANCO,12KG,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/plavicon/latex-muros-10l-plavicon.webp
62,Látex Muros,Plavicon,Exteriores,latex-muros-20l-plavicon,Pintura látex impermeabilizante para muros y frentes marca Plavicon presentación 20L. Máxima protección para grandes proyectos. Resistencia excepcional a condiciones climáticas extremas.,224370,157059,10,,2855,BLANCO,24KG,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/plavicon/latex-muros-20l-plavicon.webp
63,Recuplast Interior,Sinteplast,Interiores,recuplast-interior-1l-sinteplast,Pintura látex acrílica mate para interiores marca Sinteplast. Excelente cubrimiento y nivelación. Fórmula de bajo olor y secado rápido. Ideal para renovación de ambientes. Rendimiento: 12-14 m²/litro.,14500,10150,40,Sí,3684,BLANCO ,1L,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/sinteplast/recuplast-interior-1l-sinteplast.webp
64,Recuplast Interior,Sinteplast,Interiores,recuplast-interior-4l-sinteplast,Pintura látex acrílica mate para interiores marca Sinteplast presentación 4L. Excelente relación calidad-precio. Cobertura uniforme y acabado profesional. Disponible en base blanca para tintado.,43233,30263.1,28,Sí,1127,BLANCO,4L,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/sinteplast/recuplast-interior-4l-sinteplast.webp
65,Recuplast Interior,Sinteplast,Interiores,recuplast-interior-10l-sinteplast,Pintura látex acrílica mate para interiores marca Sinteplast presentación 10L. Performance superior para proyectos medianos. Excelente lavabilidad y resistencia al desgaste.,102037,71425.9,20,Sí,1128,BLANCO,10L,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/sinteplast/recuplast-interior-10l-sinteplast.webp
66,Recuplast Interior,Sinteplast,Interiores,recuplast-interior-20l-sinteplast,Pintura látex acrílica mate para interiores marca Sinteplast presentación 20L. Solución económica para grandes superficies. Durabilidad comprobada y fácil aplicación.,172900,121030,14,Sí,1129,BLANCO,20L,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/sinteplast/recuplast-interior-20l-sinteplast.webp
67,Recuplast Baño y Cocina Antihumedad,Sinteplast,Humedades,recuplast-bano-cocina-1l-sinteplast,Pintura látex especial para baños y cocinas marca Sinteplast. Fórmula antihumedad y antihongo. Super lavable y resistente a la condensación. Acabado satinado que facilita la limpieza. Protección duradera en ambientes húmedos.,20206,14144.2,30,,4589,BLANCO,1L,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/sinteplast/recuplast-bano-cocina-1l-sinteplast.webp
68,Recuplast Baño y Cocina Antihumedad,Sinteplast,Humedades,recuplast-bano-cocina-4l-sinteplast,Pintura látex especial para baños y cocinas marca Sinteplast presentación 4L. Tecnología avanzada contra humedad y hongos. Excelente adherencia sobre azulejos previamente tratados. Resistencia superior al vapor y salpicaduras.,66208,46345.6,22,,4590,BLANCO,4L,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/sinteplast/recuplast-bano-cocina-4l-sinteplast.webp
